 id|name|oper|city|st|zip_fixed|lat|lng|fy09|fy08|fy07|fy06|fy05|fy04|fy03|fy02|fy01|fy00|fy99|fy98|fy97|fy96|fy95|fy94|fy93|fy92|fy91|fy90|fy89|fy88|fy87|fy86|fy85|fy84|fy83|fy82|fy81 
323|FRANKLIN COUNTY JAIL, VT|County|ST ALBANS|VT|05478|44.8097222|-73.0872222|15|16|17|5|3|4|3|7|7|3|1|2|4|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
381|MORRIS COUNTY JAIL|County|MORRISTOWN|NJ|07960|40.7967667|-74.4815438|0|0|0|0|0|0|0|0|0|0|0|0|8|9|5|5|6|11|9|8|1|0|0|0|0|0|0|0|0
478|CAMDEN COUNTY JAIL|County|CAMDEN|NJ|08101|39.9099986|-75.0981842|0|0|0|0|0|4|10|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
598|VT. DEPT. OF CORRECTIONS|State|WATERBURY|VT|05676|44.3378343|-72.756229|4|4|4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
643|BARNSTABLE COUNTY|County|BARNSTABLE|MA|02630|41.6988334|-70.294405|0|1|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
714|LAFFAYETTE SHERIFF'S LOCK|State|HARTFORD|CT|06106|41.7527778|-72.7038047|2|1|0|0|0|1|0|0|0|0|0|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
755|BWATER ST HOSP BRIDGEWATE|State|BRIDGEWATER|MA|02324|41.9903787|-70.9750426|0|0|0|0|0|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
763|GARNER CORR INST|State|NEWTOWN|CT|06470|41.4139843|-73.3034505|0|0|0|0|0|1|2|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
124|EL RENO FED.CORR.INST.|Regional and Federal Facilities|EL RENO|OK|73036|35.5322741|-97.9550493|0|0|0|0|4|11|18|23|22|27|28|25|22|27|29|30|37|36|38|37|14|35|17|6|6|6|4|1|0
488|SAN DIEGO MCC|Regional and Federal Facilities|SAN DIEGO|CA|92101|32.721742|-117.1647094|0|0|0|0|0|0|0|0|0|0|2|4|2|0|0|1|1|0|0|1|0|10|4|2|0|0|0|0|0
770|NEW/INS OS HOLD ROOM|Federal|NEWARK|NJ|07102|40.7350747|-74.1739057|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|3|0|0|0|0|0|0|0|0|0|0
793|NORTHERN CORR INST|State|SOMERS|CT|06071|41.9878742|-72.4494848|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
272|WESTMINSTER CUSTODY|Federal|WESTMINSTER|CA|92683|33.7513419|-117.9939921|0|10|66|6|11|12|17|19|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
288|JUVENILE CENTER||LOS FRESNOS|TX||26.0717438|-97.4763733|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|70|50|8|0|0|0|0|0|0|0
452|ESSEX CO. JAIL, MIDDLETON|County|MIDDLETON|MA|01949|42.6007246|-71.014118|11|24|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
280|RANDALL COUNTY JAIL|County|AMARILLO|TX|79118|35.2219971|-101.8312969|70|62|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
296|ALLEGHENY CO. JAIL|County|PITTSBURGH|PA|15219|40.440368|-79.9836108|13|22|24|13|8|11|11|9|5|2|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
303|SHAWNEE COUNTY DEPT OF CORR.|County|TOPEKA|KS|66607|39.0447612|-95.6300233|6|16|9|8|0|5|20|13|11|19|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
139|PETERSBURG FED.CORR.INST.|Regional and Federal Facilities|PETERSBURG|VA|23804|37.2299999|-77.4|0|0|0|0|3|7|5|3|3|4|3|5|7|5|4|6|10|13|16|18|33|124|83|24|11|5|4|3|2
189|RAY BROOK FED.CORR.INST.|Regional and Federal Facilities|RAY BROOK|NY|12977|44.2988935|-74.1004252|0|0|0|1|3|7|6|3|2|3|2|3|4|4|8|11|19|27|45|48|27|20|12|5|3|2|2|0|0
222|ALLENWOOD U.S.PEN.|Regional and Federal Facilities|WHITE DEER|PA|17887|41.0660513|-76.8807437|0|0|0|3|7|17|17|15|18|24|29|29|18|13|9|6|4|3|0|0|0|0|0|0|0|0|0|0|0
237|ROCHESTER FED.MED.CENTER|Regional and Federal Facilities|ROCHESTER|MN|55903|44.02|-92.4599999|2|1|3|4|8|13|13|13|10|15|15|14|11|12|12|7|2|3|6|5|4|4|2|0|0|0|0|0|0
23|BRADENTON DETENTION CENTER|Regional and Federal Facilities|BRADENTON|FL|34205|27.4867008|-82.5780878|0|0|0|219|351|400|421|432|411|322|351|316|230|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
72|TALLADEGA FCI|Regional and Federal Facilities|TALLADEGA|AL|35160|33.4359416|-86.1058048|0|0|0|0|0|4|15|29|37|32|32|21|15|20|18|15|32|42|100|139|129|116|84|47|41|30|20|15|11
94|SEATAC FED.DET.CENTER|Regional and Federal Facilities|SEATAC|WA|98198|47.4042825|-122.3206826|0|2|6|3|3|39|65|100|187|182|144|58|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
112|SPRINGFIELD FED.MED.CNTR|Regional and Federal Facilities|SPRINGFIELD|MO|65808|37.19|-93.26|4|6|9|12|18|18|14|15|15|16|16|15|22|26|34|37|24|23|29|36|44|51|32|13|9|6|5|5|3
116|MEMPHIS FED.CORR.INST.|Regional and Federal Facilities|MEMPHIS|TN|38134|35.1927931|-89.8692203|1|1|1|1|1|9|23|24|30|39|39|35|35|37|35|38|29|29|47|34|20|27|10|0|1|1|1|0|0
136|HONOLULU FEDERAL DETENTION CENTER|Regional and Federal Facilities|HONOLULU|HI|96819|21.3644294|-157.8689014|56|75|44|37|41|62|61|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
137|OXFORD FED.CORR.INST.|Regional and Federal Facilities|OXFORD|WI|53952|43.7813661|-89.5726232|0|0|0|0|4|9|3|3|3|5|11|14|15|8|5|9|26|36|53|41|28|59|51|13|4|1|1|2|2
135|FLORENCE US PEN|Regional and Federal Facilities|FLORENCE|CO|81292|38.3902777|-105.1185988|0|0|0|0|9|27|33|33|39|52|51|43|34|42|32|15|4|0|0|0|0|0|0|0|0|0|0|0|0
157|CASA SAN JUAN|Regional and Federal Facilities|SAN DIEGO|CA|92103|32.7478638|-117.1647094|0|0|4|4|11|14|16|25|19|21|19|17|18|24|20|14|15|12|16|19|14|16|17|8|0|0|0|0|0
163|ASHLAND FED.CORR.INST.|Regional and Federal Facilities|ASHLAND|KY|41105|38.4799999|-82.65|0|0|0|0|0|2|11|12|12|14|15|14|20|24|21|18|20|27|46|46|21|8|2|0|0|0|0|0|0
170|MANCHESTER FED CORR INSTR|Regional and Federal Facilities|MANCHESTER|KY|40962|37.1537007|-83.7618641|0|0|0|0|0|4|18|23|26|31|34|33|33|34|34|29|8|0|0|0|0|0|0|0|0|0|0|0|0
171|BASTROP FED.CORR.INST.|Regional and Federal Facilities|BASTROP|TX|78602|30.1104947|-97.3152701|0|0|0|0|2|4|4|4|5|7|9|15|18|21|22|23|26|24|30|41|28|15|6|2|2|1|0|0|0
176|JESUP FED.CORR.INST.|Regional and Federal Facilities|JESUP|GA|31545|31.6074365|-81.8853924|0|0|0|0|3|6|12|14|18|22|31|48|45|25|14|6|14|26|7|1|1|0|0|0|0|0|0|0|0
178|MILAN FED.CORR.INST.|Regional and Federal Facilities|MILAN|MI|48160|42.0853204|-83.6824384|0|0|0|0|0|0|0|0|2|4|6|11|13|11|11|10|18|41|47|50|24|22|15|3|0|0|0|0|0
183|THREE RIVERS FCI|Regional and Federal Facilities|THREE RIVERS,|TX|78071|28.4602717|-98.1825071|0|2|0|0|2|3|8|16|18|24|27|32|30|31|31|26|15|10|5|0|0|0|0|0|0|0|0|0|0
216|CLARKE FRED'K WINCH.|Regional and Federal Facilities|WINCHESTER|VA|22603|39.2754013|-78.1792434|0|38|4|0|0|0|0|2|2|2|2|10|25|26|25|52|19|14|4|0|0|0|0|0|0|0|0|0|0
220|LEXINTON FED.MED CENTER|Regional and Federal Facilities|LEXINGTON|KY|40511|38.1229182|-84.4592701|0|0|0|0|0|0|3|7|9|12|21|29|28|24|15|5|10|10|6|6|6|5|1|0|2|3|9|6|0
221|MCKEAN FED.CORR.INST.|Regional and Federal Facilities|BRADFORD|PA|16701|41.9558963|-78.6439164|0|0|0|0|3|7|7|9|12|16|21|23|19|15|16|19|24|18|5|0|0|0|0|0|0|0|0|0|0
224|SCHUYLKILL FED.CORR.INST.|Regional and Federal Facilities|MINERSVILLE|PA|17954|40.6906451|-76.2621697|0|0|0|0|3|10|10|10|13|18|21|26|26|20|16|15|15|1|0|0|0|0|0|0|0|0|0|0|0
234|ALLENWOOD (MED) FCI|Regional and Federal Facilities|WHITE DEER|PA|17887|41.0660513|-76.8807437|2|2|0|0|4|12|11|10|12|18|22|27|24|16|12|8|4|1|0|0|0|0|0|0|0|0|0|0|0
235|SEAGOVILLE FED.CORR.INST.|Regional and Federal Facilities|SEAGOVILLE|TX|75159|32.6395776|-96.5383228|0|0|0|0|2|4|4|4|3|3|3|3|8|12|10|8|8|7|14|20|26|30|12|2|0|0|0|0|0
284|BECKLEY FED.CORR.INST.|Regional and Federal Facilities|BEAVER|WV|25813|37.7476157|-81.1423203|0|0|0|0|3|8|9|13|21|26|31|15|5|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0
293|PEKIN FED.CORR.INST.|Regional and Federal Facilities|PEKIN|IL|61554|40.5675388|-89.640658|0|0|0|0|4|9|15|17|22|24|17|11|5|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
297|GREENVILLE FCI|Regional and Federal Facilities|GREENVILLE|IL|62246|38.8922687|-89.4131356|0|0|0|0|4|10|13|20|26|23|13|8|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
357|ALLENWOOD (LOW) FCI|Regional and Federal Facilities|WHITE DEER|PA|17887|41.0660513|-76.8807437|0|0|0|0|4|14|14|4|3|5|7|10|7|5|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0
368|BEAUMONT FCC, MEDIUM|Regional and Federal Facilities|BEAUMONT|TX|77720|30.04|-94.16|0|0|0|0|6|15|13|14|12|7|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
369|ATLANTA U.S. PEN.|Regional and Federal Facilities|ATLANTA|GA|30315|33.7026678|-84.3857442|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|3|4|4|3|8|9|6|6|6|7|6|2
382|CENTRAL VA REGIONAL JAIL|Regional and Federal Facilities|ORANGE COUNTY|VA|22960|38.2426674|-77.973865|0|0|0|0|0|0|0|24|21|2|0|0|0|0|0|0|0|0|16|0|0|0|0|0|0|0|0|0|0
471|FOREST CITY FED.CORR.INST|Regional and Federal Facilities|FOREST CITY|AR|72336|32.7920758|-91.413449|0|0|0|0|3|6|5|7|5|4|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
459|YAZOO CITY FCI|Regional and Federal Facilities|YAZOO CITY|MS|39194|32.8551326|-90.4056468|0|0|0|0|3|6|3|2|4|5|5|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
464|POLLOCK USP|Regional and Federal Facilities|POLLOCK|LA|71467|31.5257321|-92.4070823|0|0|1|1|4|11|8|6|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
271|MARION USP|Regional and Federal Facilities|MARION|IL|62959|37.7306054|-88.9331256|0|0|0|0|1|2|2|3|2|1|0|0|0|0|0|0|0|0|0|7|30|42|25|10|7|6|5|4|2
569|LORETTO FED.CORR.INST.|Regional and Federal Facilities|LORETTO|PA|15940|40.5031263|-78.630296|0|0|0|0|2|7|5|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
584|FORT WORTH FED.MED.CENTER|Regional and Federal Facilities|FT. WORTH|TX|76619|32.725409|-97.3208496|0|0|0|0|0|0|0|0|0|0|2|2|2|2|1|2|2|2|2|1|0|0|0|0|0|0|0|0|0
594|NORTHWEST REG. ADULT DET.|Regional and Federal Facilities|WINCHESTER|VA|22603|39.2754013|-78.1792434|5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
623|CARSWELL FED.MED.CTR|Regional and Federal Facilities|FORT WORTH|TX|76127|32.785253|-97.4327273|0|0|0|0|2|3|2|2|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
631|OTISVILLE FED.CORR.INST.|Regional and Federal Facilities|OTISVILLE|NY|10963|41.4734268|-74.5384933|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|4|2|0|0|0|0|0
778|N.E.NEB.JUVENILE SERVICES|Regional and Federal Facilities|MADISON|NE|68748|41.8275|-97.4569444|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
856|LOMPOC FCI|Regional and Federal Facilities|LOMPOC|CA|93436|34.6391501|-120.4579409|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
857|MIAMI FED.DET.CENTER|Regional and Federal Facilities|MIAMI|FL|33132|25.776235|-80.1735565|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
869|US MARSHALS,S.DIST.FL|Regional and Federal Facilities|MIAMI|FL|33128|25.7767549|-80.2028489|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
872|US MARSHALS,MID.DIST.FL|Regional and Federal Facilities|ORLANDO|FL|32801|28.5447366|-81.3784351|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
309|ORANGE CO JAIL, GOSHEN NY|County|GOSHEN|NY|10924|41.4020382|-74.3243191|97|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
402|BAPTIST CHILD & FAMILY SERVICES|ORR|SAN ANTONIO|CA|75227|38.1838069|-122.5913723|27|26|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
329|TALLAHASSEE FED.CORR.INST||TALLAHASSEE|FL||30.4382559|-84.2807329|0|0|0|0|0|0|0|0|2|1|2|6|6|7|5|5|12|10|13|12|8|1|0|0|0|0|0|0|0
426|FORKS CITY JAIL|City or Municipality|FORKS|WA|98331|47.950355|-124.3854867|0|0|0|0|0|11|15|9|6|2|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
337|FORD COUNTY JAIL||PAXTON|IL||40.4603125|-88.0953201|0|0|0|0|0|0|3|16|11|3|9|10|16|9|4|4|2|0|0|0|0|0|0|0|0|0|0|0|0
354|NASSAU COUNTY JAIL|County|YULEE|FL|32097|30.6319034|-81.6064866|4|8|8|4|2|23|28|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
362|TRUMBULL COUNTY JAIL|County|WARREN|OH|44483|41.2375569|-80.8184166|0|0|0|0|8|54|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
370|WESTERN SPRINGS POLICE DP||WESTERN SPRINGS|IL||41.8097532|-87.9006155|0|0|0|0|0|0|0|0|0|3|7|6|7|6|7|7|5|5|6|5|5|1|0|0|0|0|0|0|0
